,MAE,MSE,RMSE,R2
RandomForest,35.356847994048046,12828.761103618617,113.26412098991727,0.9721815927581944
GradientBoosting,36.16292047267081,12961.005976726643,113.84641398272781,0.9718948275977828
ANN_MLP,41.517394710235095,13229.464767075122,115.0194103926599,0.9713126906402672
PolynomialRegression,53.67865647282619,15241.425150016272,123.45616691772133,0.9669498739321714
LinearRegression,61.45270412381213,18105.440449028738,134.55645822118214,0.9607394266963726
DecisionTree,41.369280191101744,22295.25543918677,149.31595842101663,0.9516540614983909
AdaBoost,229.15587112997378,85242.54209137964,291.96325469377075,0.8151566054530486
ARIMA,235.35904888284696,207137.76514693152,455.1239008741812,-0.09173792647246248
ExponentialSmoothing,232.82283537697688,209834.17163775157,458.0766001857676,-0.10594957556081996
